,label,t2_original_firstorder_10Percentile,t2_original_firstorder_90Percentile,t2_original_firstorder_Energy,t2_original_firstorder_Entropy,t2_original_firstorder_InterquartileRange,t2_original_firstorder_Kurtosis,t2_original_firstorder_Maximum,t2_original_firstorder_Mean,t2_original_firstorder_MeanAbsoluteDeviation,t2_original_firstorder_Median,t2_original_firstorder_Minimum,t2_original_firstorder_Range,t2_original_firstorder_RobustMeanAbsoluteDeviation,t2_original_firstorder_RootMeanSquared,t2_original_firstorder_Skewness,t2_original_firstorder_TotalEnergy,t2_original_firstorder_Uniformity,t2_original_firstorder_Variance,t2_original_glcm_Autocorrelation,t2_original_glcm_ClusterProminence,t2_original_glcm_ClusterShade,t2_original_glcm_ClusterTendency,t2_original_glcm_Contrast,t2_original_glcm_Correlation,t2_original_glcm_DifferenceAverage,t2_original_glcm_DifferenceEntropy,t2_original_glcm_DifferenceVariance,t2_original_glcm_Id,t2_original_glcm_Idm,t2_original_glcm_Idmn,t2_original_glcm_Idn,t2_original_glcm_Imc1,t2_original_glcm_Imc2,t2_original_glcm_InverseVariance,t2_original_glcm_JointAverage,t2_original_glcm_JointEnergy,t2_original_glcm_JointEntropy,t2_original_glcm_MaximumProbability,t2_original_glcm_SumEntropy,t2_original_glcm_SumSquares,t2_original_gldm_DependenceEntropy,t2_original_gldm_DependenceNonUniformity,t2_original_gldm_DependenceNonUniformityNormalized,t2_original_gldm_DependenceVariance,t2_original_gldm_GrayLevelNonUniformity,t2_original_gldm_GrayLevelVariance,t2_original_gldm_HighGrayLevelEmphasis,t2_original_gldm_LargeDependenceEmphasis,t2_original_gldm_LargeDependenceHighGrayLevelEmphasis,t2_original_gldm_LargeDependenceLowGrayLevelEmphasis,t2_original_gldm_LowGrayLevelEmphasis,t2_original_gldm_SmallDependenceEmphasis,t2_original_gldm_SmallDependenceHighGrayLevelEmphasis,t2_original_gldm_SmallDependenceLowGrayLevelEmphasis,t2_original_glrlm_GrayLevelNonUniformity,t2_original_glrlm_GrayLevelNonUniformityNormalized,t2_original_glrlm_GrayLevelVariance,t2_original_glrlm_HighGrayLevelRunEmphasis,t2_original_glrlm_LongRunEmphasis,t2_original_glrlm_LongRunHighGrayLevelEmphasis,t2_original_glrlm_LongRunLowGrayLevelEmphasis,t2_original_glrlm_LowGrayLevelRunEmphasis,t2_original_glrlm_RunEntropy,t2_original_glrlm_RunLengthNonUniformity,t2_original_glrlm_RunLengthNonUniformityNormalized,t2_original_glrlm_RunPercentage,t2_original_glrlm_RunVariance,t2_original_glrlm_ShortRunEmphasis,t2_original_glrlm_ShortRunHighGrayLevelEmphasis,t2_original_glrlm_ShortRunLowGrayLevelEmphasis,t2_original_glszm_GrayLevelNonUniformity,t2_original_glszm_GrayLevelNonUniformityNormalized,t2_original_glszm_GrayLevelVariance,t2_original_glszm_HighGrayLevelZoneEmphasis,t2_original_glszm_LargeAreaEmphasis,t2_original_glszm_LargeAreaHighGrayLevelEmphasis,t2_original_glszm_LargeAreaLowGrayLevelEmphasis,t2_original_glszm_LowGrayLevelZoneEmphasis,t2_original_glszm_SizeZoneNonUniformity,t2_original_glszm_SizeZoneNonUniformityNormalized,t2_original_glszm_SmallAreaEmphasis,t2_original_glszm_SmallAreaHighGrayLevelEmphasis,t2_original_glszm_SmallAreaLowGrayLevelEmphasis,t2_original_glszm_ZoneEntropy,t2_original_glszm_ZonePercentage,t2_original_glszm_ZoneVariance,t2_original_ngtdm_Busyness,t2_original_ngtdm_Coarseness,t2_original_ngtdm_Complexity,t2_original_ngtdm_Contrast,t2_original_ngtdm_Strength
0,0,0.188181862,0.24700781,49.15079574,3.255481566,0.028060876,3.667567059,0.30266875,0.21655932,0.017804837,0.216763623,0.130102247,0.172566503,0.011612459,0.217813804,0.15750784,132.46139,0.128255393,0.000544914,86.69023019,632.5449896,17.97812596,13.36524512,6.829869884,0.322285747,1.961052783,2.527778681,2.837450448,0.465603188,0.396733882,0.980440395,0.907942438,-0.090638825,0.634357851,0.394774511,9.222552194,0.021881351,6.083224863,0.050989617,3.84841743,5.048778751,6.028549315,144.7335907,0.139704238,5.001140412,132.8725869,5.556061888,89.48359073,19.9980695,1730.012548,0.266719576,0.016543185,0.219018738,20.01671016,0.00526576,113.7378812,0.123335344,5.866460988,89.73206663,1.44175785,128.2409253,0.022929864,0.01692479,3.814891603,750.7402442,0.808486341,0.88951589,0.158564405,0.916065222,82.35268336,0.015780644,21.06557377,0.086334319,10.74529696,92.18852459,198.3688525,16521.03689,2.554186688,0.024449163,87.86065574,0.360084655,0.623233402,57.64347325,0.017517654,5.528831862,0.235521236,180.3411717,0.713798007,0.007059089,184.39434,0.04964703,0.82827848
1,0,0.25615108,0.348639262,257.8112907,3.92591724,0.047365412,3.396548505,0.450554937,0.30149066,0.029041718,0.301286191,0.164185792,0.286369145,0.019855553,0.303765023,0.033205188,631.6372794,0.078403512,0.001376571,227.9824794,4591.105616,9.652456109,36.48146581,17.81426734,0.34414868,3.273048569,3.154328439,6.598965821,0.356365482,0.266699278,0.981381115,0.907032168,-0.070448783,0.602472065,0.269579966,14.94284012,0.007286537,7.546066709,0.017614377,4.608956029,13.57393329,6.355633581,545.8596994,0.195368539,2.610957933,219.059413,13.80706497,228.1664281,11.35934145,2549.865068,0.063106425,0.006960769,0.290607772,67.11027809,0.002870317,199.7946739,0.077317883,14.14745363,228.4378541,1.27396957,289.6386098,0.008618825,0.007076784,4.334086736,2238.04241,0.86291689,0.924701283,0.096103386,0.942564751,215.4192904,0.006760287,61.9214876,0.063968479,19.74581654,233.2438017,31.67975207,6512.618802,0.183363282,0.009334297,315.6053719,0.326038607,0.588020906,136.3237741,0.006795872,6.274555314,0.346456693,23.34865702,0.815487078,0.002513342,722.9339376,0.07866898,0.754987383
2,1,0.243661533,0.338087973,390.358208,3.952641923,0.051049866,3.116561214,0.412232548,0.29198701,0.029906418,0.292495161,0.150991186,0.261241361,0.02088849,0.294396381,-0.127449578,956.3805867,0.075668382,0.001412815,232.9410604,4623.647008,-43.42740172,38.94978226,16.0121366,0.418258498,2.946468985,3.006816154,6.482739345,0.391326611,0.309689985,0.979855255,0.908231661,-0.095729628,0.598097391,0.310755168,15.0724572,0.008218027,7.477478594,0.018045763,4.657934999,13.74047971,6.760910038,669.8077265,0.148713971,4.583918893,340.8103908,14.21022437,230.4451599,18.32193606,4444.381661,0.093302939,0.006748368,0.225163977,49.15628626,0.002077186,299.4400503,0.074199793,14.70251085,229.4224696,1.416903036,328.9661526,0.0091426,0.006914393,4.484467724,3327.381614,0.818424463,0.895904495,0.151638744,0.920856962,210.5001304,0.006485155,69.02249135,0.059708037,22.01889046,216.8096886,136.884083,35325.92301,0.58612879,0.009617532,364.550173,0.315354821,0.581102045,123.804549,0.006082719,6.54703641,0.256660746,121.7037571,1.193305658,0.001828121,594.6531493,0.080314564,0.455528333
3,0,0.177081975,0.284493035,89.02096024,4.153236687,0.055134617,4.205427195,0.457493335,0.230605229,0.033921714,0.22918421,0.080857307,0.376636028,0.022674215,0.234779338,0.365701222,239.9114797,0.068122574,0.001942566,245.8832808,9150.904813,44.77896669,48.87116997,20.59551157,0.393983472,3.514158661,3.271461206,7.929619458,0.340770699,0.249120513,0.986404223,0.919438451,-0.093752921,0.71373793,0.255414018,15.45324871,0.006139053,7.785363203,0.015531614,4.790574242,17.36667038,6.444069231,338.549226,0.209628004,2.36245876,110.0179567,19.48503139,261.8414861,9.822291022,2471.290402,0.049675079,0.006393092,0.338884884,94.42432728,0.002784608,101.0922619,0.067065757,19.99550421,262.5603748,1.231928425,320.9888743,0.007668267,0.006486779,4.519833371,1323.969223,0.876436736,0.933412717,0.079947415,0.949177054,249.7680397,0.006226512,36.17304747,0.055395172,27.44578562,277.8897397,18.73353752,4825.335375,0.089579142,0.007968155,241.3491577,0.369600548,0.629601069,181.4958037,0.005675481,6.261854994,0.404334365,12.61681625,0.327118915,0.004769076,1213.065322,0.0814117,2.374671774
4,1,0.211819792,0.284872073,44.61088953,3.517348586,0.038385391,2.725175833,0.326532155,0.247872455,0.022417008,0.247648478,0.181978881,0.144553274,0.015842024,0.249436994,0.169271187,109.2966652,0.098914779,0.00077806,55.55113729,917.3437855,25.05294339,16.55596293,13.68407855,0.090140057,2.910813676,2.754550484,3.914195957,0.386625046,0.302958089,0.947138634,0.850507545,-0.172064835,0.806640945,0.291053147,7.402149257,0.016323031,6.247803209,0.033550381,3.885092805,7.56001037,5.929513127,136.5732218,0.190478691,2.64895378,70.92189679,7.967067959,61.05160391,12.0209205,669.1213389,0.449940066,0.044368179,0.270138034,18.93070615,0.012061842,64.87296498,0.098309439,8.074398231,61.52370306,1.339746232,80.49106076,0.058012179,0.044752869,3.883774937,580.2107201,0.865130098,0.920716661,0.122146572,0.938376017,58.01848886,0.042161896,21.42677824,0.089651792,9.717301868,69.82845188,24.87447699,1362.803347,0.829968106,0.048276353,71.46861925,0.29903188,0.556913167,42.08740252,0.023996075,5.613035664,0.333333333,15.87447699,1.016200496,0.010577618,127.9540197,0.114302583,0.75391709
5,1,0.203213961,0.286238679,29.52689886,3.749161744,0.048255142,2.981627781,0.347062051,0.24471236,0.026970555,0.242035575,0.15058054,0.196481511,0.019183639,0.246993906,0.301347905,72.34090664,0.08578649,0.00112185,98.66014549,2816.396554,63.02342135,31.76418277,15.42576316,0.350807383,2.983202472,2.96268883,5.79551616,0.38197373,0.297935271,0.965684369,0.880024584,-0.199587528,0.877156863,0.302062526,9.723596477,0.011522743,6.777189366,0.028591305,4.378636976,11.79748648,6.000570301,99.97520661,0.206560344,2.493169865,41.52066116,11.26912011,110.4855372,11.00413223,1093.303719,0.183387249,0.018347772,0.285194422,35.09971299,0.006298963,38.22845939,0.085244895,11.39851747,111.2254533,1.297004571,141.524245,0.02334791,0.018509891,4.091470886,394.4061315,0.871165857,0.926255563,0.107443462,0.943879547,105.5248953,0.01756824,13.38823529,0.078754325,13.56941176,121.7294118,17.78823529,1822.688235,0.285334886,0.021317772,49.02352941,0.288373702,0.550445127,71.79440902,0.013217557,5.798932778,0.351239669,9.682491349,0.318413481,0.016664505,265.6881551,0.102161026,2.150007304
6,0,0.187551785,0.267978808,51.98215268,3.657619137,0.04369621,2.551506789,0.307734579,0.227076531,0.025191416,0.227495164,0.136933029,0.17080155,0.018279604,0.22914455,0.044004674,127.353792,0.089011325,0.000943474,114.3773397,1492.833902,5.206372059,23.53880618,11.74145125,0.323837257,2.622526521,2.814351633,4.290393819,0.403252991,0.320803335,0.96755403,0.88197338,-0.101155919,0.638569542,0.321516156,10.55500884,0.011381002,6.829615827,0.026399354,4.252310175,8.820064356,6.264231051,160.5919192,0.16221406,3.558722579,88.12121212,9.536561575,113.5353535,15.67474747,1870.430303,0.174256009,0.015091167,0.230030402,24.21431796,0.005349265,78.65024211,0.08782695,9.774890783,112.988316,1.37555769,157.4751832,0.019787523,0.015487372,4.131299423,751.7707037,0.833639104,0.904584305,0.136185022,0.92803343,104.4562882,0.014655874,20.09160305,0.076685508,13.1103811,105.2557252,85.77862595,10290.43511,0.870364117,0.023038523,81.09923664,0.309539071,0.565868243,57.65100965,0.015893845,5.805172945,0.264646465,71.50061185,0.79332108,0.007370177,225.1324718,0.111168378,0.753161416
7,0,0.208401313,0.305264372,2.152125757,3.434714862,0.057984203,1.818205662,0.312600136,0.252857437,0.031373401,0.258606613,0.191875547,0.120724589,0.023821503,0.255374102,0.023451532,5.272707925,0.100091827,0.001279049,58.16133941,2925.216506,0.391987123,37.36542945,12.08734143,0.5134562,2.734301619,2.584010314,4.239068224,0.374998434,0.287221123,0.941211399,0.83999342,-0.47204227,0.97884011,0.327431161,7.199515857,0.029863534,5.176599112,0.053606613,3.827101446,12.36319272,4.051821771,14.81818182,0.449035813,0.550964187,3.303030303,12.48668503,58.15151515,2.939393939,229.6666667,0.178062599,0.106384069,0.683501684,34.8013468,0.093329339,3.078091398,0.100069201,12.06666926,56.33719758,1.238491263,75.74625336,0.120209428,0.1114009,3.596501952,27.03014113,0.878019716,0.931818182,0.084323476,0.949636443,52.07752623,0.109343444,2.44,0.0976,11.5296,53.52,2.2,142.6,0.178251411,0.126820883,16.52,0.6608,0.833333333,42.00555556,0.119858952,3.84385619,0.757575758,0.4576,0.070680765,0.218376045,89.22606413,0.285085068,12.6535356
8,0,0.207539314,0.299798357,147.9465902,3.85968558,0.047550738,3.612136608,0.415149599,0.251081659,0.029195793,0.246335343,0.16790086,0.247248739,0.020217378,0.253788525,0.73541091,471.2098737,0.080661513,0.001366616,96.1427758,5508.331157,178.2730958,38.6379093,19.36102101,0.341124305,3.068554523,3.058075217,8.718733613,0.403574563,0.327639297,0.974776299,0.903558045,-0.12582716,0.70526488,0.319823498,9.555808071,0.00950479,7.278723736,0.022894421,4.569069477,14.49973258,6.582249373,366.7562037,0.159667481,3.970924958,185.279495,13.78986958,106.2577275,16.47670875,1480.972573,0.294674178,0.01840648,0.230720619,28.90852374,0.004761804,164.7725678,0.079449566,14.15581887,107.7277353,1.413795789,145.6184208,0.025970473,0.018479256,4.344445986,1749.190601,0.832216652,0.902448009,0.15055323,0.924729591,100.492077,0.017163075,41.28070175,0.06583844,19.61537816,128.2137161,64.92025518,4992.226475,1.192697148,0.02019746,180.9425837,0.288584663,0.553129108,74.83594561,0.012184513,6.40972549,0.272964737,51.49919238,1.104096144,0.003638574,504.3636966,0.082730725,0.949547259
9,0,0.096505177,0.14186862,3.615424975,2.811336039,0.023951238,2.738843253,0.177462131,0.122004666,0.014148846,0.1242727,0.082221925,0.095240206,0.010166018,0.123251212,-0.11508386,10.62933977,0.161146812,0.000305723,25.28629965,134.5498827,-5.628912845,6.692670889,7.560369969,0.009262996,2.038870856,2.390105962,2.644721761,0.485606355,0.419460587,0.937730862,0.848799223,-0.201714745,0.805211402,0.345188013,5.044784815,0.039395163,5.100984421,0.090065859,3.267580757,3.563260215,5.437955534,30.36134454,0.127568675,5.661323353,38.35294118,3.054604195,25.2394958,26.10084034,776.7521008,2.00617316,0.102261822,0.144676343,3.481326955,0.017605004,32.59199511,0.157908271,3.134885643,24.82560674,1.778507096,45.71441579,0.172451848,0.10416976,3.354826239,168.4327855,0.789466133,0.8645766,0.307372924,0.896559161,21.90162277,0.094305594,5.714285714,0.136054422,4.768707483,25.66666667,102.8571429,2948.833333,6.344598994,0.125646566,7.380952381,0.175736961,0.409607265,10.88839681,0.059189916,4.832560875,0.176470588,70.74603175,0.781682025,0.026968258,49.75173252,0.083931543,0.810697244
